date,value,type
2025-03-01,2154350.0,Historical
2025-03-02,0.0,Historical
2025-03-09,0.0,Historical
2025-03-15,0.0,Historical
2025-03-20,0.0,Historical
2025-03-27,0.0,Historical
2025-04-01,1066262.0,Historical
2025-05-01,1037090.0,Historical
2025-06-01,1022285.0,Historical
2025-07-01,1261869.0,Historical
2025-09-01,86405.0,Historical
2025-09-02,80585.0,Historical
2025-09-03,64343.0,Historical
2025-09-04,74249.0,Historical
2025-09-05,42305.0,Historical
2025-09-06,71897.0,Historical
2025-09-07,11877.0,Historical
2025-09-08,105102.0,Historical
2025-09-09,97736.0,Historical
2025-09-10,106378.0,Historical
2025-09-11,81616.0,Historical
2025-09-12,90974.0,Historical
2025-09-13,70084.0,Historical
2025-09-14,14847.0,Historical
2025-09-15,97423.0,Historical
2025-09-16,87796.0,Historical
2025-09-17,88736.0,Historical
2025-09-18,101055.0,Historical
2025-09-19,83060.0,Historical
2025-09-20,84358.0,Historical
2025-09-21,0.0,Historical
2025-09-22,0.0,Historical
2025-09-23,0.0,Historical
2025-09-24,0.0,Historical
2025-09-25,0.0,Historical
2025-09-26,0.0,Historical
2025-09-27,0.0,Historical
2025-09-28,0.0,Historical
2025-09-29,0.0,Historical
2025-09-30,0.0,Historical
2025-10-13,21957.0,Historical
2025-10-15,94926.0,Historical
2025-10-16,84676.0,Historical
2025-10-17,79850.0,Historical
2025-10-18,59716.0,Historical
2025-10-19,71582.0,Historical
2025-10-20,17262.0,Historical
2025-10-21,9402.0,Historical
2025-10-22,1274.0,Historical
2025-10-23,3399.0,Historical
2025-10-24,82830.0,Historical
2025-10-25,104282.0,Historical
2025-10-26,104281.0,Historical
2025-10-27,61878.0,Historical
2025-10-28,49779.0,Historical
2025-10-29,71877.0,Historical
2025-10-30,83257.0,Historical
2025-10-31,124915.0,Historical
2025-11-01,109450.0,Historical
2025-11-02,74691.0,Historical
2025-11-03,99230.0,Historical
2025-11-04,92443.0,Historical
2025-11-05,68680.0,Historical
2025-11-06,123765.0,Historical
2025-11-07,100652.0,Historical
2025-11-08,102637.0,Historical
2025-11-09,41639.0,Historical
2025-11-10,110655.0,Historical
2025-11-11,93282.0,Historical
2025-11-12,118560.0,Historical
2025-11-13,78861.0,Historical
2025-11-14,83203.0,Historical
2025-11-15,87496.0,Historical
2025-11-16,42252.0,Historical
2025-11-17,72823.0,Historical
2025-11-18,100038.0,Historical
2025-11-19,90648.0,Historical
2025-11-25,78793.0,Historical
2025-11-26,27009.0,Historical
2025-11-27,67550.0,Historical
2025-11-28,47235.0,Historical
2025-11-29,23428.0,Historical
2025-12-01,82827.0,Historical
2025-12-02,108100.0,Historical
2025-12-03,103077.0,Historical
2025-12-04,114786.0,Historical
2025-12-05,69623.0,Historical
2025-12-06,69506.0,Historical
2025-12-07,49953.0,Historical
2025-12-08,103438.0,Historical
2025-12-09,92628.0,Historical
2025-12-10,68881.0,Historical
2025-12-11,105531.0,Historical
2025-12-12,119155.0,Historical
2025-12-13,74777.0,Historical
2025-12-14,31832.0,Historical
2025-12-15,76573.0,Historical
2025-12-16,116357.0,Historical
2025-12-18,12238.0,Historical
2025-12-19,97147.0,Historical
2025-12-20,50731.0,Historical
2025-12-21,19113.0,Historical
2025-12-22,30192.0,Historical
2025-12-23,49432.0,Historical
2025-12-24,23958.0,Historical
2025-12-25,93098.0,Historical
2025-12-26,107367.0,Historical
2025-12-27,122587.0,Historical
2025-12-28,42189.0,Historical
2025-12-29,61880.0,Historical
2025-12-31,0.0,Historical
2026-01-01,5333.65781842515,Prophet Forecast
2026-02-01,-155535.6055341441,Prophet Forecast
2026-03-01,-233407.11538527015,Prophet Forecast
2026-04-01,-269995.26575753157,Prophet Forecast
2026-05-01,-516047.91900554945,Prophet Forecast
2026-06-01,-704491.8861230233,Prophet Forecast
