feature,importance
future_updates_3m,0.77341956
will_need_biometric,0.11688747
future_biometric_updates,0.065630876
digital_inclusion_index,0.010412706
updates_ma3,0.004768233
future_updates_6m,0.0020077922
child_update_compliance,0.0016779675
high_updater_6m,0.001277824
cumulative_enrolments,0.001272538
month,0.0011608902
rolling_3m_updates,0.0009374322
anomaly_severity_score,0.000883448
address_intensity,0.0008776908
service_stress_index,0.00079176377
month_sin,0.000783333
demographic_intensity,0.0005999338
maturity_steady,0.00055260526
relative_digital_score,0.00047164178
natural_event_proxy,0.00046475127
update_velocity,0.00044478683
policy_event_likelihood,0.00044143357
service_accessibility_score,0.00044136058
maintenance_ratio,0.00043049792
identity_maturity_score,0.000404545
update_yoy_change,0.00039615197
rolling_3m_enrolments,0.0003785276
demographic_updates_5_17,0.00037254265
citizen_engagement_index,0.00036743257
enrolment_volatility_index,0.00036573652
enrolment_yoy_change,0.00035879575
rolling_trend_slope_3m,0.00035313927
identity_stability_index,0.0003517376
enrolments_0_5,0.00034129605
load_variance,0.00031784506
digital_self_service_score,0.00029680834
forecast_3m,0.0002881257
state_rank,0.0002864718
enrolments_lag_1,0.00028499682
enrolments_lag_6,0.00028283906
update_persistence_6m,0.0002813581
post_burst_fatigue,0.00027986866
quarter,0.0002639663
academic_cycle_alignment_score,0.00026246553
biometric_delay_score,0.00024156773
manual_labor_proxy,0.00024088185
updates_per_1000,0.00023693634
long_term_identity_consistency,0.00023652268
month_cos,0.00023497424
migration_volatility_6m,0.00022563686
seasonal_variance_score,0.00022515365
biometric_intensity,0.00021424054
behavioral_memory_score,0.00020690812
relative_update_intensity,0.00019836391
aadhaar_maturity_index,0.0001983631
engagement_biometric,0.00019549526
enrolment_update_correlation,0.00019265417
update_burden_index,0.00017435024
updates_lag_3,0.00017126389
update_entropy_score,0.00016641064
rank_change_3m,0.00016426825
relative_maturity_score,0.00016096556
update_persistence_3m,0.00015055733
enrolment_to_update_completion_rate,0.00014840659
rank_change_6m,0.00014100737
enrolment_mom_change,0.00013820083
maturity_stability,0.00013692532
child_to_adult_transition_stress,0.00013542979
demographic_updates_18_plus,0.00013424618
rank_volatility,0.000133962
decoupling_index,0.00013222412
pincode,0.00013060025
dominant_update_month,0.00011398848
updates_lag_1,0.00011077736
update_mom_change,0.00010340329
child_biometric_ratio,0.00010094276
update_burst_score,9.5231466e-05
mobility_indicator,9.434117e-05
enrolments_ma3,8.979998e-05
forecast_uncertainty_width,8.658583e-05
rolling_trend_slope_6m,8.4577034e-05
mobile_intensity,8.289226e-05
load_variance_normalized,7.785172e-05
service_quality_score,7.626332e-05
digital_engagement_index,6.949346e-05
iris_updates,6.321575e-05
updates_lag_6,6.2768035e-05
curvature_score,5.8431964e-05
accessibility_score,5.8069378e-05
update_consistency_6m,5.6769903e-05
forecasted_growth_rate_3m,4.7224505e-05
engagement_consistency_score,4.2185748e-05
district_service_stress_index,4.0697607e-05
trust_stability_indicator,3.3331064e-05
demographic_update_rate,3.109686e-05
fingerprint_updates,3.076125e-05
biometric_update_rate,2.5269268e-05
data_quality_event_likelihood,1.5829315e-05
biometric_updates_18_plus,8.793599e-06
online_update_score,1.6402969e-06
enrolments_18_plus,0.0
enrolments_5_17,0.0
biometric_updates_5_17,0.0
address_updates,0.0
mobile_updates,0.0
name_updates,0.0
dob_updates,0.0
gender_updates,0.0
growth_acceleration,0.0
stability_category,0.0
digital_divide_indicator,0.0
recovery_rate,0.0
child_enrolment_share,0.0
digital_instability_index,0.0
identity_stability_score,0.0
lifecycle_transition_spike,0.0
face_updates,0.0
adult_enrolment_share,0.0
stability_score,0.0
is_high_mobility,0.0
saturation_score,0.0
policy_violation_score,0.0
is_undersaturated,0.0
enrolment_velocity,0.0
mandatory_update_age_15,0.0
mandatory_update_age_5,0.0
is_high_frequency_updater,0.0
is_peak_season,0.0
estimated_population,0.0
saturation_ratio,0.0
gender_ratio,0.0
severe_gender_imbalance,0.0
gender_dob_update_rate,0.0
excessive_name_changes,0.0
name_update_rate,0.0
gender_parity_score,0.0
data_quality_concern,0.0
enrolments_lag_3,0.0
impossible_changes,0.0
is_oversaturated,0.0
engagement_mobility,0.0
engagement_address,0.0
engagement_frequency,0.0
burden_score,0.0
resilience_score,0.0
compliance_score,0.0
maturity_saturation,0.0
maturity_compliance,0.0
mobile_digital_score,0.0
age_transition_pressure_18,0.0
age_transition_pressure_5,0.0
age_transition_pressure_15,0.0
net_outward_migration_proxy,0.0
net_inward_migration_proxy,0.0
correction_count,0.0
child_update_backlog_ratio,0.0
frequent_modifier_flag,0.0
identity_churn_score,0.0
maintenance_count,0.0
peak_load_ratio,0.0
correction_to_maintenance,0.0
correction_ratio,0.0
migration_spike_flag,0.0
sustained_high_activity_flag,0.0
is_concave_trend,0.0
is_convex_trend,0.0
forecast_spike_risk,0.0
mobile_update_ratio,0.0
update_frequency_per_capita,0.0
remote_update_dependency,0.0
migration_mobility_index,0.0
district_health_score,0.0
