state,mean,std,count
100000,1.0,0.0,24
Jammu And Kashmir,1.0,0.0,2
Darbhanga,1.0,0.0,2
BALANAGAR,1.0,0.0,2
The Dadra And Nagar Haveli And Daman And Diu,1.0,0.0,2
West Bengli,1.0,0.0,3
Puttenahalli,1.0,,1
Jaipur,1.0,0.0,2
Madanapalle,1.0,0.0,2
Raja Annamalai Puram,1.0,,1
Nagpur,1.0,,1
west Bengal,0.9999979240880519,7.191169932356687e-06,12
WESTBENGAL,0.9999939870136675,1.2616435625804707e-05,58
Westbengal,0.9999931557336142,1.830246362210873e-05,102
Uttaranchal,0.9999928825876064,1.215529572962811e-05,7
West Bangal,0.9999898904645549,1.8408313691802742e-05,180
West  Bengal,0.9999897190188396,2.2723116798606678e-05,114
odisha,0.999987142738902,1.265477189048785e-05,31
ODISHA,0.9999867660613307,1.5983944278039166e-05,64
WEST BENGAL,0.9999865660462036,2.4108078135998828e-05,90
Chhatisgarh,0.9999861605870125,1.3129219956020697e-05,9
Jammu & Kashmir,0.9999842733231645,2.1967185205787784e-05,797
andhra pradesh,0.9999803871576958,2.7915306449418267e-05,75
West bengal,0.9999793069458787,3.439097528384941e-05,60
Tamilnadu,0.9999750890566226,,1
Orissa,0.9999047329869604,0.0003419001657351754,22683
Andaman & Nicobar Islands,0.999904043736528,0.0003662421112370051,881
Dadra & Nagar Haveli,0.9998689222123723,0.00035875067800361654,156
Daman & Diu,0.99982762622144,0.0005249296994764283,415
Lakshadweep,0.9998212271243354,0.0004672253579298288,831
Sikkim,0.999716150709087,0.001208036149120625,4507
Ladakh,0.9997105432070944,0.0011951408019011112,1221
Pondicherry,0.9997080161595817,0.0006419865759516918,3309
Dadra and Nagar Haveli and Daman and Diu,0.999701097799933,0.001072863927832525,648
Himachal Pradesh,0.9996494996894244,0.0013758998500684187,44848
Goa,0.9996469017924459,0.0012219515651917777,8580
Andaman and Nicobar Islands,0.9996378066901984,0.0011876600769387545,1956
Daman and Diu,0.9996319303332226,0.0011873488270149346,617
Kerala,0.9995366686314919,0.0013546731148867384,148838
Arunachal Pradesh,0.9995189326425055,0.0013856594157263037,6889
Puducherry,0.9994573369252049,0.0015527479060894007,3856
Karnataka,0.999382058874216,0.002984614042689544,220936
Andhra Pradesh,0.9993389732729362,0.003249031211711628,289982
Nagaland,0.9992919611413351,0.0029854089440999616,6186
Meghalaya,0.9992785184624267,0.003943510576250369,7913
Tamil Nadu,0.9992505711602011,0.002809751172343107,286871
Assam,0.999210432382872,0.0028229507119920667,85627
Odisha,0.9991864007068045,0.0030470344842609006,131400
Telangana,0.9991180256297676,0.0035550696345214463,127927
Mizoram,0.9991093097206102,0.005396327010034433,5620
West Bengal,0.9990297197188402,0.0041120548010026075,230450
Tripura,0.9989443173597813,0.004039200591226288,12750
Gujarat,0.998854188369894,0.0067620436702128745,140197
Punjab,0.998835112070116,0.007354809027619304,72029
Uttarakhand,0.9988122647056661,0.006815569676243456,33893
Jammu and Kashmir,0.9986544024293055,0.005695887566950084,29362
Rajasthan,0.9982268874294052,0.008407319096064795,128123
Manipur,0.9980637761195064,0.005706383477282382,10226
Jharkhand,0.9980240843944804,0.009528140940738151,56839
Maharashtra,0.9979744039927815,0.0070437380856003375,228172
Chandigarh,0.9979148774851487,0.011219592718490335,2779
Dadra and Nagar Haveli,0.9978679344450369,0.008619190236004114,476
Haryana,0.9975884614068891,0.012825037108415946,40100
Bihar,0.9975465483385079,0.007990876104800163,136751
Uttar Pradesh,0.9974319579152802,0.011685493876529016,238561
Madhya Pradesh,0.9972920592924953,0.012496668834783196,107475
Chhattisgarh,0.9968116947169305,0.015244888539110267,50572
Delhi,0.9930989820928501,0.03808328106319417,14587
