state,mobility_indicator,identity_stability_score,digital_instability_index
100000,0.0,1.0,0.0
Andaman & Nicobar Islands,0.05387636704183429,0.999904043736528,0.04755418625891901
Andaman and Nicobar Islands,0.11334755806372769,0.9996378066901984,0.09197284884781536
Andhra Pradesh,0.18785058098090357,0.9993389732729362,0.1488034951552137
Arunachal Pradesh,0.16285237123437152,0.9995189326425055,0.1300944168644048
Assam,0.2329189363883824,0.999210432382872,0.18176877486037474
BALANAGAR,0.0,1.0,0.0
Bihar,0.29444747633292967,0.9975465483385079,0.2274116199894091
Chandigarh,0.24087208669461554,0.9979148774851487,0.18842665528164426
Chhatisgarh,0.0,0.9999861605870125,0.0
Chhattisgarh,0.26472539100836756,0.9968116947169305,0.20493604275009777
Dadra & Nagar Haveli,0.08597374847142057,0.9998689222123723,0.0773656898635289
Dadra and Nagar Haveli,0.21664951607842547,0.9978679344450369,0.16991871935026825
Dadra and Nagar Haveli and Daman and Diu,0.15976629312720397,0.999701097799933,0.12792133948963794
Daman & Diu,0.07356603904611587,0.99982762622144,0.06665832159633865
Daman and Diu,0.10142838590100764,0.9996319303332226,0.08053352781800178
Darbhanga,0.0,1.0,0.0
Delhi,0.29608167457389967,0.9930989820928501,0.2285010727501394
Goa,0.1526845534471558,0.9996469017924459,0.12453470797801537
Gujarat,0.20354293396471923,0.998854188369894,0.15964005214310886
Haryana,0.2463834208651428,0.9975884614068891,0.19145488311696868
Himachal Pradesh,0.1145758840301327,0.9996494996894244,0.09444972319632697
Jaipur,0.0,1.0,0.0
Jammu & Kashmir,0.00491426181498937,0.9999842733231645,0.00491426181498937
Jammu And Kashmir,0.0,1.0,0.0
Jammu and Kashmir,0.22297163999087813,0.9986544024293055,0.17364061597189062
Jharkhand,0.24480664426400303,0.9980240843944804,0.1900593385413185
Karnataka,0.17778151172430431,0.999382058874216,0.14117350306513635
Kerala,0.18308121923412074,0.9995366686314919,0.14575901501256666
Ladakh,0.1391964812851368,0.9997105432070944,0.11377100209778414
Lakshadweep,0.06833323782600066,0.9998212271243354,0.06250071628961237
Madanapalle,0.0,1.0,0.0
Madhya Pradesh,0.25226047464539747,0.9972920592924953,0.1949298883636459
Maharashtra,0.2414343440537828,0.9979744039927815,0.187429349393971
Manipur,0.23903083866716124,0.9980637761195064,0.185736154111575
Meghalaya,0.17238605331013823,0.9992785184624267,0.1361560250816447
Mizoram,0.1435524417152827,0.9991093097206102,0.11493492025203274
Nagaland,0.14908164836315635,0.9992919611413351,0.1187926271459868
Nagpur,0.0,1.0,0.0
ODISHA,0.0,0.9999867660613307,0.0
Odisha,0.20101852607773815,0.9991864007068045,0.1574340229294594
Orissa,0.051282048480637464,0.9999047329869604,0.0445580687455911
Pondicherry,0.11840045480344143,0.9997080161595817,0.0977013794042437
Puducherry,0.19104116133652715,0.9994573369252049,0.149681504509135
Punjab,0.19454340952442326,0.998835112070116,0.1525750947412708
Puttenahalli,0.0,1.0,0.0
Raja Annamalai Puram,0.0,1.0,0.0
Rajasthan,0.24457750910311016,0.9982268874294052,0.18880261837743947
Sikkim,0.14613340848045245,0.999716150709087,0.1175648959378051
Tamil Nadu,0.2037523681893714,0.9992505711602011,0.15961860072513426
Tamilnadu,0.0,0.9999750890566226,0.0
Telangana,0.22364614580847272,0.9991180256297676,0.17423891799696103
The Dadra And Nagar Haveli And Daman And Diu,0.0,1.0,0.0
Tripura,0.2252547548738903,0.9989443173597813,0.17557895709331342
Uttar Pradesh,0.27821341229516555,0.9974319579152802,0.2147933589275431
Uttarakhand,0.18429763118982978,0.9988122647056661,0.1455098086979039
Uttaranchal,0.0,0.9999928825876064,0.0
WEST BENGAL,0.008888888888711111,0.9999865660462036,0.0044444444443555555
WESTBENGAL,0.0,0.9999939870136675,0.0
West  Bengal,0.009502923976346249,0.9999897190188396,0.009502923976346249
West Bangal,0.007407407407160493,0.9999898904645549,0.007407407407160493
West Bengal,0.2292377220875697,0.9990297197188402,0.17869887170278168
West Bengli,0.0,1.0,0.0
West bengal,0.03999999999875555,0.9999793069458787,0.03666666666548889
Westbengal,0.006535947712200435,0.9999931557336142,0.006535947712200435
andhra pradesh,0.017777777777185186,0.9999803871576958,0.017777777777185186
odisha,0.0,0.999987142738902,0.0
west Bengal,0.0,0.9999979240880519,0.0
