column_name,data_type,non_null_count,null_count
date,datetime64[ns],2947681,0
state,object,2947681,0
district,object,2947681,0
pincode,int64,2947681,0
enrolments_0_5,float64,2947681,0
enrolments_5_17,float64,2947681,0
enrolments_18_plus,float64,2947681,0
total_enrolments,float64,2947681,0
demographic_updates_5_17,float64,2947681,0
demographic_updates_18_plus,float64,2947681,0
total_demographic_updates,float64,2947681,0
address_updates,float64,2947681,0
mobile_updates,float64,2947681,0
name_updates,float64,2947681,0
dob_updates,float64,2947681,0
gender_updates,float64,2947681,0
biometric_updates_5_17,float64,2947681,0
biometric_updates_18_plus,float64,2947681,0
total_biometric_updates,float64,2947681,0
fingerprint_updates,float64,2947681,0
iris_updates,float64,2947681,0
face_updates,float64,2947681,0
enrolment_growth_rate,float64,2947681,0
adult_enrolment_share,float64,2947681,0
child_enrolment_share,float64,2947681,0
demographic_update_rate,float64,2947681,0
biometric_update_rate,float64,2947681,0
mobility_indicator,float64,2947681,0
digital_instability_index,float64,2947681,0
identity_stability_score,float64,2947681,0
update_burden_index,float64,2947681,0
manual_labor_proxy,float64,2947681,0
lifecycle_transition_spike,float64,2947681,0
seasonal_variance_score,float64,2947645,36
rolling_3m_enrolments,float64,2947681,0
total_all_updates,float64,2947681,0
rolling_3m_updates,float64,2947681,0
child_to_adult_transition_stress,float64,2947681,0
service_accessibility_score,float64,2947681,0
digital_divide_indicator,float64,2947681,0
anomaly_severity_score,float64,2947681,0
recovery_rate,float64,2947681,0
enrolment_volatility_index,float64,2947681,0
stability_category,category,2947681,0
