state,district,cluster,cluster_name,total_enrolments,total_demographic_updates,total_biometric_updates,updates_per_1000,mobility_indicator,digital_instability_index,saturation_ratio,enrolment_volatility_index,update_burden_index
100000,100000,0,High Activity Urban,2.0,0.0,0.0,0.0,0.0,0.0,1.225,0.30417385996163815,0.0
Andaman & Nicobar Islands,Andamans,0,High Activity Urban,10.0,96.0,339.0,7383.928571428572,0.08989512471438217,0.07623299319533118,1.49,0.232372713847504,70000000000.76785
Andaman & Nicobar Islands,Nicobars,0,High Activity Urban,1.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0
Andaman & Nicobar Islands,South Andaman,0,High Activity Urban,4.0,41.0,50.0,2530.3030303030305,0.03520923520847055,0.02481962481904322,1.4810344827586208,0.22112138213654564,23030303030.757576
Andaman and Nicobar Islands,Nicobar,0,High Activity Urban,10.0,39.0,163.0,6322.222222222223,0.0522660818702689,0.04788011695801128,1.4760869565217392,0.33160898190207816,55416666667.864586
Andaman and Nicobar Islands,North And Middle Andaman,0,High Activity Urban,18.0,319.0,956.0,17644.927536231884,0.08196258355298994,0.06426183771013223,1.4908333333333335,0.3226155860193394,169130434784.03864
Andaman and Nicobar Islands,South Andaman,0,High Activity Urban,23.0,251.0,915.0,12224.719101123595,0.1431766192851225,0.11765882708477049,1.492283950617284,0.23559660100867777,115280898877.70787
Andhra Pradesh,Adilabad,1,Low Activity Rural,171.0,3491.0,5833.0,16217.077664399092,0.2121978484205395,0.165363387547547,1.4988589211618257,0.3277659819470267,146785714288.55386
Andhra Pradesh,Alluri Sitharama Raju,0,High Activity Urban,187.0,1414.0,1414.0,7448.4349503041085,0.12583011422669627,0.10061174361083372,1.4982428115015973,0.3803560967819378,65981308412.75131
Andhra Pradesh,Anakapalli,0,High Activity Urban,81.0,1319.0,661.0,4830.246913580247,0.14469990759721646,0.11622385360845514,1.4985054347826088,0.24101094415555466,44682539683.243385
Andhra Pradesh,Anantapur,1,Low Activity Rural,560.0,6952.0,12310.0,16258.818846101243,0.20593071651232497,0.16115963082174448,1.499438775510204,0.32899806273852983,147756286269.60007
Andhra Pradesh,Ananthapur,0,High Activity Urban,241.0,2794.0,8526.0,11548.508005822418,0.11004669787959959,0.09139601387372608,1.4993778280542986,0.2616690405423026,109683406114.59843
Andhra Pradesh,Ananthapuramu,0,High Activity Urban,369.0,3859.0,14589.0,18283.13829787234,0.11314905709874429,0.09343277318297967,1.49938202247191,0.3274418678973951,173734042554.8398
Andhra Pradesh,Annamayya,0,High Activity Urban,132.0,3436.0,1455.0,9809.417040358745,0.14781901887326812,0.12359953492383349,1.4987179487179487,0.2885350820465276,90695067265.88991
Andhra Pradesh,Bapatla,0,High Activity Urban,61.0,1514.0,892.0,5876.395939086295,0.10581059225061462,0.0891496075552537,1.4985372340425533,0.20865703278147876,56700507614.61675
Andhra Pradesh,Chittoor,2,Moderate Balanced,987.0,24111.0,38644.0,47804.44225166687,0.2470651583121285,0.19060441210764192,1.4995004541326067,0.42349484517279223,448691910504.15314
Andhra Pradesh,Cuddapah,1,Low Activity Rural,879.0,9268.0,20041.0,25524.720993377312,0.23495082883960727,0.18176156981174965,1.4993813273340832,0.4198495238753833,228094218419.94693
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0,High Activity Urban,76.0,1188.0,1081.0,4534.00281888654,0.10023677872275054,0.0850358943360804,1.4987750556792874,0.22682990982475024,42980972516.31537
Andhra Pradesh,East Godavari,2,Moderate Balanced,993.0,14398.0,34561.0,25204.249695768347,0.21551384486573535,0.16998331766761646,1.4995137595696255,0.34494872855269404,230082889287.48663
Andhra Pradesh,Eluru,0,High Activity Urban,79.0,1849.0,1053.0,5488.811420982736,0.1110976477006482,0.09490760017441643,1.4988517745302714,0.22602200660303406,52888446215.50713
Andhra Pradesh,Guntur,2,Moderate Balanced,1371.0,17916.0,37139.0,37628.69108722474,0.24617136361177666,0.19317644056193886,1.4993616366712814,0.39056406601347465,348068910261.1073
Andhra Pradesh,Hyderabad,1,Low Activity Rural,612.0,4319.0,13008.0,20944.593206275626,0.20616890161552054,0.1614571720113601,1.4991666666666668,0.4437777637347422,190057971017.7701
Andhra Pradesh,K.V.Rangareddy,0,High Activity Urban,7.0,47.0,69.0,1264.0449438202247,0.003745318351935081,0.003745318351935081,1.4936781609195402,0.17117373420623244,12247191011.314608
Andhra Pradesh,K.v. Rangareddy,3,High Mobility Transient,0.0,19.0,48.0,1288.4615384615386,0.0,0.0,,0.10534774820930162,12884615384.615385
Andhra Pradesh,Kakinada,0,High Activity Urban,126.0,2948.0,1407.0,9901.240694789081,0.1874662905740064,0.1469727183913302,1.4984015345268542,0.3006693820933933,92084367246.95016
Andhra Pradesh,Karim Nagar,0,High Activity Urban,8.0,115.0,185.0,2631.818181818182,0.03821428571333188,0.033961038960154254,1.4949074074074074,0.17701938176757007,25363636363.827274
Andhra Pradesh,Karimnagar,0,High Activity Urban,71.0,1029.0,2257.0,6163.504611330699,0.10089735982608215,0.08655799753008024,1.4988612836438924,0.20298448781793652,59011857708.00593
Andhra Pradesh,Khammam,1,Low Activity Rural,135.0,2743.0,4272.0,10510.365521003818,0.19989481658140884,0.15615102155064942,1.498946037099494,0.2675067507798994,97381342063.65929
Andhra Pradesh,Krishna,2,Moderate Balanced,886.0,10664.0,27234.0,25565.630789644983,0.20968842895843495,0.1647550462207903,1.4993531516652905,0.37632605591800233,232318611991.40656
Andhra Pradesh,Kurnool,2,Moderate Balanced,1543.0,15988.0,43543.0,47716.10587540431,0.2611217020806941,0.20197528570181597,1.4990187499999998,0.46712916726774867,442917466416.1888
Andhra Pradesh,Mahabub Nagar,0,High Activity Urban,173.0,1373.0,1714.0,4952.111324376199,0.13408512251565974,0.10860242532513992,1.4989402697495184,0.338303290413237,42667946258.452034
Andhra Pradesh,Mahabubnagar,3,High Mobility Transient,0.0,10.0,14.0,1333.3333333333333,0.0,0.0,,0.07775110137127991,13333333333.333334
Andhra Pradesh,Mahbubnagar,0,High Activity Urban,74.0,922.0,1109.0,4369.693396226415,0.09662778757244717,0.08009220279469373,1.4986935866983373,0.25698367091258695,40165094340.29796
Andhra Pradesh,Medak,0,High Activity Urban,163.0,1172.0,3140.0,6748.48759830611,0.09802809121659942,0.0816281439591295,1.4988207547169812,0.32778413672274304,60163339384.255295
Andhra Pradesh,N. T. R,1,Low Activity Rural,108.0,4751.0,1636.0,15909.473684210527,0.2145720448399512,0.16928796120772885,1.4978597449908926,0.30012268447708906,152078947369.75262
Andhra Pradesh,Nalgonda,0,High Activity Urban,146.0,2874.0,4224.0,10220.686900958466,0.19612708719151248,0.1532225869233402,1.4990909090909093,0.2628178974221683,92907348244.58908
Andhra Pradesh,Nandyal,0,High Activity Urban,105.0,3462.0,1714.0,12488.512949039266,0.11831036642590106,0.09653132805115905,1.4985526315789475,0.28594902104660563,121228070176.11569
Andhra Pradesh,Nellore,1,Low Activity Rural,754.0,8731.0,16206.0,21050.90665801105,0.2190317470850022,0.17205833648071997,1.499422875131165,0.3805727681709559,190362173041.6993
Andhra Pradesh,Nizamabad,0,High Activity Urban,70.0,566.0,1659.0,6337.578616352202,0.07541402104293204,0.06366219293080881,1.4979707792207793,0.3068145591555596,58962264151.74371
Andhra Pradesh,Palnadu,0,High Activity Urban,99.0,3504.0,1582.0,12494.858611825193,0.1378972204454482,0.11110029639522163,1.4985411140583556,0.27267273629310185,120077120823.55432
Andhra Pradesh,Parvathipuram Manyam,0,High Activity Urban,66.0,677.0,1208.0,6490.111940298508,0.12584305205310453,0.10485559216670204,1.4978599221789883,0.2652469543158801,60298507463.57183
Andhra Pradesh,Prakasam,2,Moderate Balanced,1024.0,12707.0,25403.0,27116.30046762827,0.25341155577901164,0.1942767560733564,1.499520905923345,0.3898382274706827,247485477182.51224
Andhra Pradesh,Rangareddi,0,High Activity Urban,222.0,2207.0,6966.0,13673.657718120805,0.15268559741978344,0.12358775083664653,1.4990316901408451,0.3328830510040238,126728187921.2075
