state,district,digital_inclusion_index,service_quality_score,aadhaar_maturity_index,citizen_engagement_index,total_enrolments,total_all_updates,overall_index,digital_rank,service_rank,maturity_rank,engagement_rank,overall_rank
100000,100000,37.5,54.56305260299611,63.23853644908242,0.0,2.0,0.0,38.82539726301963,967.0,435.0,970.0,1050.5,970.0
Andaman & Nicobar Islands,Andamans,47.65767154031693,58.73154962114257,90.98975412118571,16.806512740599963,10.0,435.0,53.5463720058113,228.0,99.0,431.0,802.0,514.0
Andaman & Nicobar Islands,Nicobars,25.000000000000007,58.634915554973006,50.00000000000001,0.0,1.0,0.0,33.408728888743255,974.5,114.0,973.0,1050.5,978.0
Andaman & Nicobar Islands,South Andaman,48.78328381983607,58.474742403007546,87.99685269740897,11.377072692744319,4.0,91.0,51.65798790324923,86.0,139.0,758.0,902.0,828.0
Andaman and Nicobar Islands,Nicobar,47.58961747977879,57.54642380398389,92.08937801649957,18.09399135209313,10.0,202.0,53.82985266308884,238.0,252.0,194.0,772.0,365.0
Andaman and Nicobar Islands,North And Middle Andaman,47.90141413452893,57.993393246583125,89.59451769571788,17.45350069148778,18.0,1275.0,53.23570644207943,191.0,202.0,631.0,785.0,626.0
Andaman and Nicobar Islands,South Andaman,46.63854946146195,57.90673310384045,91.71311305472463,21.472035825054387,23.0,1166.0,54.432607861270355,379.0,212.0,285.0,691.0,113.0
Andhra Pradesh,Adilabad,45.72830183354301,54.65141132847337,92.60761238478285,25.580214382073155,171.0,9324.0,54.6418849822181,550.0,428.0,92.0,531.0,42.0
Andhra Pradesh,Alluri Sitharama Raju,47.78290732390394,57.65246688106341,89.59861258905947,18.418879088641088,187.0,2828.0,53.36321647066698,212.0,236.0,629.0,762.0,586.0
Andhra Pradesh,Anakapalli,48.68924731246896,57.0797310877514,86.52249298221886,16.56869338022123,81.0,1980.0,52.21504119066511,101.0,292.0,816.0,807.0,783.0
Andhra Pradesh,Anantapur,46.126413879658294,55.068094604192176,92.63226151671117,25.408580513692407,560.0,19262.0,54.80883762856351,475.0,404.0,90.0,538.0,15.0
Andhra Pradesh,Ananthapur,47.64127264041851,57.79117120268394,91.34573253431059,18.091348272515766,241.0,11320.0,53.717381162482205,229.0,222.0,373.0,773.0,432.0
Andhra Pradesh,Ananthapuramu,47.60319091006238,57.04954857708807,91.03871740247962,18.714807778230636,369.0,18448.0,53.60156616696518,237.0,294.0,427.0,756.0,493.0
Andhra Pradesh,Annamayya,48.70560259697509,56.910470288237384,86.45376591203554,16.95336961682559,132.0,4891.0,52.2558021035184,98.0,301.0,819.0,797.0,779.0
Andhra Pradesh,Bapatla,48.99851188480365,57.723672664200116,85.6227995379028,13.456849931345944,61.0,2406.0,51.45045850456312,57.0,227.0,844.0,856.0,847.0
Andhra Pradesh,Chittoor,45.19694355290472,52.6646730580082,92.33694238417323,28.471941390694035,987.0,62755.0,54.66762509644505,646.0,576.0,140.0,354.0,37.0
Andhra Pradesh,Cuddapah,45.044158728488895,53.67491965449116,92.9540898246982,27.758693196171954,879.0,29309.0,54.85796535096255,672.0,499.0,39.0,405.0,10.0
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,48.842925646075145,58.3750402975829,85.94039826782401,13.519277335934579,76.0,2269.0,51.66941038685416,75.0,148.0,834.0,855.0,827.0
Andhra Pradesh,East Godavari,45.52157665496747,54.05868762321501,92.23403059053699,26.019349408936826,993.0,48959.0,54.45841106941407,592.0,470.0,156.0,506.0,104.0
Andhra Pradesh,Eluru,49.10956343546241,57.46965943452846,85.60659768821958,13.787235549830285,79.0,2902.0,51.493264027010184,48.0,263.0,846.0,850.0,843.0
Andhra Pradesh,Guntur,45.1059284100293,52.86475125021209,91.97698486823587,28.063616800626512,1371.0,55055.0,54.502820332275945,659.0,558.0,217.0,379.0,88.0
Andhra Pradesh,Hyderabad,44.633607377903886,54.33468206501531,92.4437861161102,26.23673602557176,612.0,17327.0,54.41220289615029,752.0,452.0,119.0,490.0,119.0
Andhra Pradesh,K.V.Rangareddy,49.63691853041325,58.41891018982796,86.46874912423363,8.256087005330295,7.0,116.0,50.695166212451284,7.0,141.0,818.0,933.0,886.0
Andhra Pradesh,K.v. Rangareddy,,57.87629403468092,,9.281692168597566,0.0,67.0,,,216.0,,923.0,
Andhra Pradesh,Kakinada,48.45493949963542,55.317443104732554,87.77166499521365,20.58704767904362,126.0,4355.0,53.03277381965631,129.0,390.0,771.0,710.0,677.0
Andhra Pradesh,Karim Nagar,49.06124387780991,58.12072699538661,87.11646730162818,10.890238262054911,8.0,300.0,51.2971691092199,54.0,179.0,798.0,910.0,856.0
Andhra Pradesh,Karimnagar,47.932555797626286,58.015057406031694,90.9847262258491,16.667539205090044,71.0,3286.0,53.399969658649276,186.0,197.0,433.0,805.0,569.0
Andhra Pradesh,Khammam,46.76460582714587,54.91543214777808,92.04769848078278,23.913720719290048,135.0,7015.0,54.4103642937492,353.0,411.0,203.0,598.0,120.0
Andhra Pradesh,Krishna,45.55461414995319,54.12898953603885,92.60658171853727,26.03643049994377,886.0,37898.0,54.581653976118275,587.0,466.0,93.0,503.0,58.0
Andhra Pradesh,Kurnool,44.143522894315986,52.21357549723839,92.2155322671358,29.71696866292434,1543.0,59531.0,54.572399830403626,817.0,602.0,161.0,261.0,61.0
Andhra Pradesh,Mahabub Nagar,47.39127443127063,57.78657950935041,90.80918471717827,19.121845817697594,173.0,3087.0,53.77722111887422,264.0,224.0,466.0,750.0,399.0
Andhra Pradesh,Mahabubnagar,,57.94223337832799,,6.900860428900263,0.0,24.0,,,208.0,,952.0,
Andhra Pradesh,Mahbubnagar,48.04402791138748,57.64197480972041,89.87490702556632,15.620945456783552,74.0,2031.0,52.79546380086444,176.0,238.0,602.0,822.0,724.0
Andhra Pradesh,Medak,47.84654492490472,57.86959481072601,90.09772105455724,17.025226580903137,163.0,4312.0,53.209771842772774,199.0,217.0,569.0,793.0,636.0
Andhra Pradesh,N. T. R,48.54686925488115,54.099923680557445,87.7028910979686,22.295366507300848,108.0,6387.0,53.16126263517701,116.0,469.0,775.0,667.0,653.0
Andhra Pradesh,Nalgonda,46.74303874032286,55.3835311109386,92.68891966781096,24.01587413435492,146.0,7098.0,54.70784091335683,357.0,386.0,76.0,589.0,28.0
Andhra Pradesh,Nandyal,48.74219986553042,57.394415375291125,86.23497800597899,15.217440307186772,105.0,5176.0,51.89725838849682,93.0,272.0,826.0,830.0,810.0
Andhra Pradesh,Nellore,45.67551231121489,54.86565402143297,92.03327294480248,26.335139340477454,754.0,24937.0,54.72739465448194,560.0,413.0,208.0,481.0,24.0
Andhra Pradesh,Nizamabad,48.471048868506415,58.00734283718342,89.40277907044336,14.693869315774638,70.0,2225.0,52.643760022976956,127.0,199.0,651.0,838.0,744.0
Andhra Pradesh,Palnadu,48.804395056887415,56.868585830990085,85.89252057470247,15.780236290517587,99.0,5086.0,51.83643443827439,82.0,306.0,836.0,821.0,815.0
Andhra Pradesh,Parvathipuram Manyam,48.16407422676179,57.67628112529309,89.10917024194481,17.74891067533843,66.0,1885.0,53.17460906733453,159.0,231.0,675.0,780.0,649.0
Andhra Pradesh,Prakasam,45.416954958431695,51.69962412117049,92.4710917062304,28.583248337617015,1024.0,38110.0,54.5427297808624,608.0,638.0,113.0,342.0,74.0
Andhra Pradesh,Rangareddi,46.29100301612475,56.92160984858679,92.66342352456552,22.02380812026672,222.0,9173.0,54.47496112738594,444.0,300.0,82.0,680.0,98.0
Andhra Pradesh,Spsr Nellore,25.0,60.82734048025584,43.85002336312429,0.0,62.0,0.0,32.419340960845034,979.0,26.0,979.0,1050.5,979.0
Andhra Pradesh,Sri Potti Sriramulu Nellore,49.28214109222965,57.89305206235265,83.82149129565336,12.02573385433818,191.0,3344.0,50.755604576143455,30.0,213.0,884.0,890.0,884.0
Andhra Pradesh,Sri Sathya Sai,48.589597616139386,56.987688792574446,86.23080453631955,16.8142912558524,116.0,2768.0,52.15559555022144,113.0,298.0,827.0,801.0,787.0
Andhra Pradesh,Srikakulam,44.963221334567685,50.82245812463737,92.74338283996079,30.099616701272947,583.0,37999.0,54.657169750109695,693.0,687.0,70.0,225.0,41.0
Andhra Pradesh,Tirupati,49.06510190642671,57.19072995446487,84.93364871038966,15.010812045616863,227.0,5497.0,51.55007315422453,53.0,287.0,863.0,832.0,836.0
Andhra Pradesh,Visakhapatnam,44.645941606110696,51.77315655346228,92.79240312881194,29.076918480968505,1033.0,58140.0,54.572104942338356,750.0,630.0,62.0,306.0,62.0
Andhra Pradesh,Vizianagaram,44.868744104685035,53.20166515811262,92.67465591341868,27.662836948364244,498.0,22887.0,54.60197553114514,713.0,529.0,79.0,410.0,52.0
Andhra Pradesh,Warangal,46.65291746836367,55.4147709364983,92.96129978154069,23.389589210901747,132.0,8605.0,54.60464434932611,374.0,382.0,38.0,624.0,51.0
Andhra Pradesh,West Godavari,45.2755207543373,54.413059205633516,92.51651144792861,27.00380097443355,753.0,33687.0,54.802223095583244,631.0,448.0,108.0,444.0,17.0
Andhra Pradesh,Y. S. R,49.22936711761782,56.06566626275384,85.31947057768737,14.012930375024956,85.0,3977.0,51.15685858327099,35.0,351.0,853.0,846.0,864.0
Arunachal Pradesh,Anjaw,45.429898661934196,53.74312502787043,86.2433354019995,22.21839083074468,8.0,276.0,51.9086874806372,606.0,489.0,825.0,671.0,808.0
Arunachal Pradesh,Changlang,46.71267313930007,56.733921536756185,87.39316870940193,19.846844995849068,55.0,2004.0,52.67165209532681,364.0,316.0,786.0,730.0,738.0
Arunachal Pradesh,Dibang Valley,,57.61065344288605,,17.921766714214645,0.0,136.0,,,243.0,,774.0,
Arunachal Pradesh,East Kameng,40.91150688156323,52.86738128047926,92.77567329856012,31.555991878447955,33.0,1021.0,54.52763833476264,960.0,557.0,65.0,129.0,79.0
Arunachal Pradesh,East Siang,43.74631574968733,52.541450151158635,92.09928372634734,28.603144751746306,30.0,704.0,54.247548594734894,863.0,583.0,191.0,341.0,176.0
Arunachal Pradesh,Kamle,43.750885373627675,57.46160956940222,72.1586259907388,7.704761269515709,1.0,15.0,45.268970550821095,861.0,264.0,955.0,942.0,953.0
Arunachal Pradesh,Kra Daadi,46.403832901539495,53.63635006082424,91.29195044069735,23.303851684924112,9.0,182.0,53.6589962719963,424.0,502.0,382.0,628.0,469.0
Arunachal Pradesh,Kurung Kumey,42.78838737050715,55.45402366529056,93.96569500350397,27.81077363609778,29.0,229.0,55.00471991884987,923.0,380.0,6.0,399.0,4.0
Arunachal Pradesh,Leparada,,58.30261359949209,,6.252126906817004,0.0,2.0,,,162.0,,960.0,
Arunachal Pradesh,Lohit,46.24776128937051,53.338567037639486,89.9130955794695,23.70369756148277,28.0,494.0,53.300780366990566,451.0,520.0,597.0,608.0,605.0
Arunachal Pradesh,Longding,48.074700770197076,55.76580314289719,84.00399986013593,17.654652273449436,481.0,473.0,51.37478901166991,172.0,365.0,880.0,782.0,851.0
Arunachal Pradesh,Lower Dibang Valley,41.363964229170904,54.80268583916844,85.77415257505906,24.188166395449088,16.0,610.0,51.53224225971187,955.0,418.0,838.0,582.0,839.0
Arunachal Pradesh,Lower Siang,47.63488550764772,59.184006679641215,86.44873973093499,14.755885979926218,8.0,71.0,52.00587947453753,231.0,56.0,820.0,836.0,799.0
Arunachal Pradesh,Lower Subansiri,45.03048572424729,54.132393962115096,90.1796083870024,23.915516848531585,8.0,1041.0,53.31450123047409,676.0,465.0,557.0,597.0,602.0
Arunachal Pradesh,Namsai,46.71038219185573,54.82059319820962,90.51281755812538,25.59688523799247,23.0,1585.0,54.4101695465458,365.0,417.0,509.0,529.0,121.0
Arunachal Pradesh,Pakke Kessang,,58.30029960671684,,8.190427109880313,0.0,18.0,,,163.0,,935.0,
Arunachal Pradesh,Papum Pare,46.06348048104971,54.99954457209755,90.54737332094957,23.301435556720186,68.0,1492.0,53.72795848270425,486.0,407.0,503.0,629.0,422.0
Arunachal Pradesh,Shi-yomi,40.89534426130783,58.41344301465816,85.73054859082562,18.14910082053777,1.0,81.0,50.79710917183234,961.0,143.0,840.0,769.0,881.0
Arunachal Pradesh,Siang,44.3317449388733,58.339863017040926,94.63206271965,22.075270892811456,4.0,88.0,54.84473539209392,797.0,153.0,1.0,679.0,11.0
Arunachal Pradesh,Tawang,47.064762551207764,58.87864148312301,88.0956362856686,19.80226994050963,38.0,353.0,53.46032756512725,313.0,74.0,749.0,731.0,552.0
Arunachal Pradesh,Tirap,47.89093572055557,57.401335074189156,87.97511524889066,17.012930113139358,19.0,801.0,52.570079039193686,192.0,270.0,759.0,794.0,752.0
Arunachal Pradesh,Upper Siang,45.2397630989067,57.47825300547648,92.00417195436978,21.76865425493392,12.0,191.0,54.122710578421724,639.0,262.0,212.0,685.0,230.0
Arunachal Pradesh,Upper Subansiri,37.29138908758705,51.73651958048266,90.96195326848802,31.543243782001493,5.0,244.0,52.8832764296398,969.0,633.0,437.0,131.0,711.0
Arunachal Pradesh,West Kameng,46.906250562982805,56.68310540211111,88.51067367447777,19.33452997025999,17.0,849.0,52.85863990245792,337.0,321.0,719.0,744.0,713.0
