feature,xgb_importance,lgb_importance,rf_importance,avg_importance
cumulative_enrolments,0.018952744,597,0.05377583258212231,199.0242428588879
seasonal_variance_score,0.008777117,413,0.0251014802851649,137.67795953254728
rolling_3m_updates,0.16394411,402,0.09369591520744552,134.08588000849392
updates_lag_6,0.008995901,327,0.023998551093410578,109.01099815065179
service_accessibility_score,0.009863,309,0.025887109641823294,103.01191670333498
updates_ma3,0.0690254,271,0.10275611970357766,90.39059383900144
updates_lag_3,0.010225298,226,0.027039889736472242,75.34575506253988
updates_lag_1,0.01061017,224,0.041964189449631734,74.68419145306024
month,0.023908619,221,0.011070443498387893,73.678326354112
update_velocity,0.007379191,193,0.02110734068883155,64.34282884389505
enrolment_volatility_index,0.006641996,184,0.01722376379120708,61.3412885866281
update_yoy_change,0.0063846814,125,0.013068336677868228,41.673151006040825
anomaly_severity_score,0.0064747813,125,0.012937645514260056,41.67313747561001
month_sin,0.050886173,107,0.010349878447616817,35.687078683749625
biometric_updates_5_17,0.0069332574,98,0.018783397177416682,32.67523888487561
manual_labor_proxy,0.00737512,94,0.010651906034415747,31.33934234207324
enrolments_ma3,0.0067809215,93,0.009363218521132049,31.005381380000895
enrolments_lag_6,0.006741581,93,0.006339751525878078,31.00436044418163
rolling_3m_enrolments,0.0072075496,86,0.00854567932854366,28.67191774299044
biometric_intensity,0.0067631495,84,0.01210033261273756,28.006287827377083
biometric_updates_18_plus,0.0069810133,79,0.013187261121780173,26.340056091488176
updates_per_1000,0.008136521,78,0.029807544232093423,26.012648021775217
demographic_intensity,0.0068598427,77,0.007920423394603067,25.671593422027485
update_mom_change,0.0062532728,74,0.01324910713646255,24.673167459965708
update_burden_index,0.009819463,71,0.02028760245958618,23.676702355118326
mobile_intensity,0.0072353906,69,0.006719246150105541,23.00465154558331
enrolments_lag_1,0.006598247,68,0.005506372465329412,22.670701539893496
address_intensity,0.007060667,64,0.005812484611386829,21.337624383881874
recovery_rate,0.0074798814,62,0.005449881809911683,20.67097658773734
