state,district,anomaly_prob,cluster_name,total_enrolments,total_demographic_updates,total_biometric_updates,updates_per_1000,mobility_indicator,digital_instability_index,saturation_ratio,enrolment_volatility_index,update_burden_index
Delhi,North West Delhi,-0.6925343189798471,Oversaturated Stable,2140.0,36472.0,45682.0,268369.14227917313,0.31579148633131326,0.24573629982608594,1.4975,0.7487734325753106,2613348416298.8545
Delhi,North East Delhi,-0.6805982637556308,Oversaturated Stable,740.0,20173.0,32094.0,754639.3902624106,0.294702578553785,0.22791013208573394,1.4901785714285716,0.776347497749955,7492622950826.009
Bihar,Kishanganj,-0.6526780408873366,Oversaturated Stable,854.0,20333.0,24609.0,349423.71735229675,0.3140421557053388,0.24474664482470512,1.49375,0.6024833088747492,3374432989707.168
Maharashtra,Thane,-0.6526071595020421,Moderate Balanced,5535.0,45043.0,64352.0,53304.086493473405,0.2759686494414455,0.21260225176067055,1.4992128189516798,0.6614102273458338,469615754092.0604
Maharashtra,Pune,-0.6487401748414229,Moderate Balanced,4341.0,49746.0,75133.0,51963.93950646625,0.27324242252826453,0.21176783588221199,1.4994975084012339,0.5335419406633694,466374067707.8709
Rajasthan,Jaipur,-0.6473645092349303,Moderate Balanced,5426.0,47210.0,50882.0,62751.51986916793,0.2771508428766049,0.21263711704776866,1.4991204732510288,0.49255191003817445,583935091284.2375
Chhattisgarh,Kondagaon,-0.6368337465961904,Oversaturated Stable,298.0,20474.0,9940.0,310588.47301439,0.30295488520755215,0.23253542135539065,1.493236074270557,0.8026539384887235,3056483516490.7354
Uttar Pradesh,Bareilly,-0.6151643753607967,Moderate Balanced,2788.0,38904.0,32283.0,139585.6946635317,0.31009630736161,0.23956509869723253,1.4983483483483484,0.6582965151432084,1323596491237.529
Chhattisgarh,Mahasamund,-0.6096156509272619,Oversaturated Stable,475.0,19487.0,12326.0,290431.16798621055,0.2821854550642003,0.2202465508577274,1.493820224719101,0.5722199207508816,2817934782619.6064
Delhi,East Delhi,-0.6060093607153375,Oversaturated Stable,1095.0,20459.0,20138.0,272967.5254564205,0.29609293980699936,0.22700232184351823,1.495045045045045,0.7127210939018112,2667168141600.721
Gujarat,Surat,-0.6035377412751917,Moderate Balanced,3488.0,37604.0,34878.0,53769.30913176235,0.2166801697333907,0.169809676727957,1.4993537015276146,0.5949961491763321,507612612617.1527
Delhi,West Delhi,-0.6027481629778837,Moderate Balanced,2397.0,18396.0,18163.0,153036.2346157764,0.31541570513475564,0.243474605763221,1.4949074074074074,1.0379483737732456,1468070175446.844
Rajasthan,Khairthal-Tijara,-0.5964120851046111,High Mobility Transient,0.0,89.0,0.0,4684.210526315789,0.20460241512521976,0.1426748689880888,,0.0,46842105263.1579
West Bengal,Murshidabad,-0.5944566482361083,Moderate Balanced,4664.0,42813.0,32816.0,45262.563983919266,0.26641426179639505,0.20728366981797186,1.4995040577096483,0.6312221740839267,418331907618.2411
Meghalaya,West Khasi Hills,-0.5916003305257439,Low Activity Rural,4683.0,406.0,1442.0,2621.645586204053,0.12469909076075177,0.10377667692914286,1.4721785686010609,1.0997779781151449,8823529413.830402
Chhattisgarh,Narayanpur,-0.5915104583736278,Oversaturated Stable,103.0,1759.0,3334.0,240021.36189403993,0.2958513876238129,0.23070784507254669,1.4665343915343916,0.7091568419541566,2361052631583.569
Bihar,East Champaran,-0.5903409459171461,Moderate Balanced,5159.0,27752.0,25669.0,54634.90507044176,0.32240565075860517,0.2486334551933224,1.4990036231884059,0.5749711249443343,493357271102.3335
Jharkhand,Pakur,-0.589152929209565,Moderate Balanced,491.0,9391.0,5018.0,156288.04284838762,0.33129318974228933,0.25489440220924836,1.4862612612612613,0.8952390031035308,1521923076929.2356
Tamil Nadu,Kanchipuram,-0.5869363469419678,High Mobility Transient,0.0,0.0,2.0,1000.0,0.0,0.0,,1.4557040542223938,10000000000.0
Arunachal Pradesh,Dibang Valley,-0.5852520802264676,High Mobility Transient,0.0,26.0,110.0,8000.0,0.08795518207069121,0.0677871148441558,,0.15453794143350366,80000000000.0
