feature,importance
rolling_3m_updates,0.4640797
updates_ma3,0.21071492
cumulative_enrolments,0.19712053
updates_lag_1,0.07416332
updates_lag_6,0.06919973
updates_lag_3,0.062248223
month,0.056204434
service_accessibility_score,0.05604066
month_sin,0.055931304
seasonal_variance_score,0.045248125
month_cos,0.031303845
update_velocity,0.029701957
biometric_intensity,0.019346936
update_yoy_change,0.018780384
total_updates,0.017881455
aadhaar_maturity_index,0.01647673
service_quality_score,0.01569548
biometric_updates_5_17,0.014824142
enrolments_lag_1,0.014654784
anomaly_severity_score,0.014578319
updates_per_1000,0.014343997
enrolment_volatility_index,0.014227877
rolling_3m_enrolments,0.014125232
enrolments_ma3,0.014120062
citizen_engagement_index,0.0137452185
total_all_updates,0.013118066
digital_inclusion_index,0.013050055
update_mom_change,0.012419237
quarter,0.011845734
enrolments_lag_6,0.011500886
identity_stability_score,0.011466001
enrolment_growth_rate,0.011345075
biometric_update_rate,0.011276458
update_burden_index,0.011069922
manual_labor_proxy,0.010318909
child_biometric_ratio,0.0101436945
accessibility_score,0.009650292
biometric_updates_18_plus,0.008939323
demographic_intensity,0.008862004
maturity_steady,0.008447932
enrolment_velocity,0.007856045
enrolments_lag_3,0.007679872
demographic_updates_18_plus,0.0073656174
recovery_rate,0.006932781
digital_instability_index,0.006902632
child_enrolment_share,0.0068858485
total_biometric_updates,0.0067873425
engagement_frequency,0.0060741445
demographic_update_rate,0.005964531
mobile_intensity,0.0058608903
child_to_adult_transition_stress,0.005363963
lifecycle_transition_spike,0.0053207846
maturity_stability,0.0053089075
demographic_updates_5_17,0.0048429356
address_intensity,0.0047619776
resilience_score,0.004750983
gender_parity_score,0.0046973005
mobility_indicator,0.004181043
total_demographic_updates,0.0041516894
enrolments_0_5,0.0036711588
digital_divide_indicator,0.003178952
burden_score,0.0029982245
engagement_biometric,0.002897336
stability_score,0.00261135
total_enrolments,0.0025218301
online_update_score,0.0022736168
is_oversaturated,0.0021428585
fingerprint_updates,0.0019005092
mobile_digital_score,0.0018932996
is_high_mobility,0.0017965689
engagement_address,0.0016098738
enrolments_5_17,0.0015753461
address_updates,0.0014937115
engagement_mobility,0.0012823043
adult_enrolment_share,0.0012342854
iris_updates,0.0012318761
estimated_population,0.0009010492
name_update_rate,0.0007818968
enrolments_18_plus,0.0007770707
child_update_compliance,0.0007294809
is_peak_season,0.00072937034
mobile_updates,0.00047562394
gender_ratio,0.00045374132
name_updates,0.00030880538
maturity_compliance,0.0002755338
dob_updates,0.00018412282
gender_dob_update_rate,0.00012599457
mandatory_update_age_15,0.00011191733
face_updates,6.2457846e-05
mandatory_update_age_5,2.8586928e-05
is_high_frequency_updater,2.6493417e-05
gender_updates,0.0
saturation_ratio,0.0
is_undersaturated,0.0
policy_violation_score,0.0
impossible_changes,0.0
excessive_name_changes,0.0
severe_gender_imbalance,0.0
saturation_score,0.0
data_quality_concern,0.0
maturity_saturation,0.0
compliance_score,0.0
